Ticker,Company,Average Age
KEY,KeyCorp,57.125
KEYS,Keysight Technologies,56.8
KHC,Kraft Heinz,50.85714286
KIM,Kimco Realty,54.66666667
KLAC,KLA ,56.57142857
KMB,Kimberly-Clark,54.25
KMI,Kinder Morgan,58.625
KMX,CarMax,54
KO,Coca-Cola Company,57.77777778
KR,Kroger,51.125
L,Loews ,61.75
LDOS,Leidos,59.5
LEG,Leggett & Platt,57.88888889
LEN,Lennar,61.16666667
LH,LabCorp,58.25
LHX,L3Harris Technologies,58.6
LIN,Linde,53
LKQ,LKQ ,51.85714286
LLY,Eli Lilly & Co,52.42857143
LMT,Lockheed Martin,57
LNC,Lincoln National,56
LNT,Alliant Energy,54.625
LOW,Lowe's,56
LRCX,Lam Research,56.42857143
LUMN,Lumen Technologies,53.66666667
LUV,Southwest Airlines,61.14285714
LVS,Las Vegas Sands,55
LW,Lamb Weston,53.42857143
LYB,LyondellBasell,55.875
LYV,Live Nation Entertainment,55.28571429
MA,Mastercard,56.125
MAA,Mid-America Apartments,55.33333333
MAR,Marriott International,59.375
MAS,Masco,55.875
MCD,McDonald's,55.5
MCHP,Microchip Technology,60.6
MCK,McKesson ,55.6
MCO,Moody's ,53.33333333
MDLZ,Mondelez International,56.125
MDT,Medtronic,57.33333333
MET,MetLife,52.75
MGM,MGM Resorts International,58.42857143
MHK,Mohawk Industries,57.625
MKC,McCormick & Company,59
MKTX,MarketAxess,53.85714286
MLM,Martin Marietta Materials,55.42857143
MMC,Marsh & McLennan,54.83333333
MMM,3M,55.75
MNST,Monster Beverage,62.2
MO,Altria Group,54.57142857
MOS,The Mosaic Company,57.55555556
MPC,Marathon Petroleum,54.7
MPWR,Monolithic Power Systems,60.83333333
MRK,Merck & Co.,53
MRNA,Moderna,#NAME?
MRO,Marathon Oil,57.5
MS,Morgan Stanley,54.28571429
MSCI,MSCI,55.71428571
MSFT,Microsoft,54.42857143
MSI,Motorola Solutions,52.55555556
MTB,M&T Bank,60.2
MTCH,Match Group,51.8
MTD,Mettler Toledo,56
MU,Micron Technology,56.85714286
NCLH,Norwegian Cruise Line Holdings,56.14285714
NDAQ,Nasdaq,55.375
