Ticker,Companies,CEO Pay,,,,,,,,,,,,,,,,
F,Ford Motor Company,22813174,,,,,,,,,,,,,,,,
FANG,Diamondback Energy,13839995,,,,,,,,,,,,,,,,
FAST,Fastenal Company,2423614,,,,,,,,,,,,,,,,
FCX,Freeport-McMoRan,19111894,,,,,,,,,,,,,,,,
FDS,FactSet Research Systems,5468745,,,,,,,,,,,,,,,,
FDX,FedEx,14325537,,,,,,,,,,,,,,,,
FE,FirstEnergy,10714062,,,,,,,,,,,,,,,,
FFIV,F5,11469726,,,,,,,,,,,,,,,,
FISV,Fiserv,20385208,,,,,,,,,,,,,,,,
FITB,Fifth Third Bancorp,10531649,,,,,,,,,,,,,,,,
FLT,FLEETCOR Technologies,57923473,,,,,,,,,,,,,,,,
FMC,FMC,8489671,,,,,,,,,,,,,,,,
FOX,Fox,27675399,,,,,,,,,,,,,,,,
FRC,First Republic Bank,23458948,,,,,,,,,,,,,,,,
FRT,Federal Realty Investment Trust,7520917,,,,,,,,,,,,,,,,
FTNT,Fortinet,14203211,,,,,,,,,,,,,,,,
FTV,Fortive,16598719,,,,,,,,,,,,,,,,
GD,General Dynamics,23553862,,,,,,,,,,,,,,,,
GE,General Electric Company,22663449,,,,,,,,,,,,,,,,
GILD,Gilead Sciences,19229466,,,,,,,,,,,,,,,,
GIS,General Mills,15572682,,,,,,,,,,,,,,,,
GL,Globe Life,8353754,,,,,,,,,,,,,,,,
GLW,Corning orporated,20766032,,,,,,,,,,,,,,,,
GM,General Motors Company,29136780,,,,,,,,,,,,,,,,
GNRC,Generac Holdings,7519813,,,,,,,,,,,,,,,,
GOOGL,Alphabet,6322599,,,,,,,,,,,,,,,,
GPC,Genuine Parts Company,11810704,,,,,,,,,,,,,,,,
GPN,Global Payments,23318393,,,,,,,,,,,,,,,,
GRMN,Garmin Ltd,4238341,,,,,,,,,,,,,,,,
GS,The Goldman Sachs Group,39545072,,,,,,,,,,,,,,,,
GWW,W W Grainger,9015594,,,,,,,,,,,,,,,,
HAL,Halliburton Company,23591982,,,,,,,,,,,,,,,,
HAS,Hasbro,3130233,,,,,,,,,,,,,,,,
HBAN,Huntington Bancshares orporated,9619178,,,,,,,,,,,,,,,,
HCA,HCA Healthcare,20635260,,,,,,,,,,,,,,,,
HD,The Home Depot,13059751,,,,,,,,,,,,,,,,
HES,Hess,12408198,,,,,,,,,,,,,,,,
HIG,The Hartford Financial Services Group,15824348,,,,,,,,,,,,,,,,
HII,Huntington Ingalls Industries,7714066,,,,,,,,,,,,,,,,
HLT,Hilton Worldwide Holdings,23285248,,,,,,,,,,,,,,,,
HOLX,Hologic,14748400,,,,,,,,,,,,,,,,
HON,Honeywell International,26100120,,,,,,,,,,,,,,,,
HPE,Hewlett Packard Enterprise Company,19052415,,,,,,,,,,,,,,,,
HPQ,HP,20733806,,,,,,,,,,,,,,,,
HRL,Hormel Foods,9957474,,,,,,,,,,,,,,,,
HSIC,Henry Schein,10786180,,,,,,,,,,,,,,,,
HST,Host Hotels & Resorts,11520730,,,,,,,,,,,,,,,,
HSY,The Hershey Company,16144570,,,,,,,,,,,,,,,,
HUM,Humana,16528036,,,,,,,,,,,,,,,,
HWM,Howmet Aerospace,17189000,,,,,,,,,,,,,,,,
IBM,International Business Machines,17550959,,,,,,,,,,,,,,,,
ICE,Intercontinental Exchange,14788386,,,,,,,,,,,,,,,,
IDXX,IDEXX Laboratories,9065021,,,,,,,,,,,,,,,,
IEX,IDEX,6719772,,,,,,,,,,,,,,,,
IFF,International Flavors & Fragrances,9767380,,,,,,,,,,,,,,,,
ILMN,Illumina,14333634,,,,,,,,,,,,,,,,
INCY,Incyte,14444265,,,,,,,,,,,,,,,,
INTC,Intel,178590400,,,,,,,,,,,,,,,,
INTU,Intuit,24929237,,,,,,,,,,,,,,,,
INVH,IPG Photonics,7284851,,,,,,,,,,,,,,,,
IP,International Paper Company,15228707,,,,,,,,,,,,,,,,
IPG,The Interpublic Group of Companies,17371647,,,,,,,,,,,,,,,,
IQV,IQVIA Holdings,28615851,,,,,,,,,,,,,,,,
IR,Ingersoll Rand,10613486,,,,,,,,,,,,,,,,
IRM,Iron Mountain orporated,17046118,,,,,,,,,,,,,,,,
ISRG,Intuitive Surgical,8059409,,,,,,,,,,,,,,,,
IT,Gartner,14096168,,,,,,,,,,,,,,,,
ITW,Illinois Tool Works,20787622,,,,,,,,,,,,,,,,
IVZ,Invesco Ltd,12897752,,,,,,,,,,,,,,,,
J,Jacobs Engineering Group,16275230,,,,,,,,,,,,,,,,
JBHT,J B Hunt Transport Services,8801881,,,,,,,,,,,,,,,,
JCI,Johnson Controls International,15667017,,,,,,,,,,,,,,,,
JKHY,Jack Henry & Associates,8692656,,,,,,,,,,,,,,,,
JNJ,Johnson & Johnson,26741959,,,,,,,,,,,,,,,,
JNPR,Juniper Networks,11870290,,,,,,,,,,,,,,,,
JPM,JPMorgan Chase & Co,84428145,,,,,,,,,,,,,,,,
K,Kellogg Company,10678337,,,,,,,,,,,,,,,,
KEY,KeyCorp,8653484,,,,,,,,,,,,,,,,
KEYS,Keysight Technologies,18566410,,,,,,,,,,,,,,,,
KHC,The Kraft Heinz Company,8605599,,,,,,,,,,,,,,,,
KIM,Kimco Realty,10488138,,,,,,,,,,,,,,,,
KLAC,KLA,13710388,,,,,,,,,,,,,,,,
KMB,Kimberly-Clark,12009162,,,,,,,,,,,,,,,,
KMI,Kinder Morgan,18000259,,,,,,,,,,,,,,,,
KMX,CarMax,13689123,,,,,,,,,,,,,,,,
KO,The Coca-Cola Company,24883878,,,,,,,,,,,,,,,,
KR,The Kroger Co,18168730,,,,,,,,,,,,,,,,
L,Loews,6119523,,,,,,,,,,,,,,,,
LDOS,Leidos Holdings,12876007,,,,,,,,,,,,,,,,
LEN,Lennar,34045217,,,,,,,,,,,,,,,,
LH,Laboratory of America Holdings,20551605,,,,,,,,,,,,,,,,
LHX,L3Harris Technologies,15697749,,,,,,,,,,,,,,,,
LIN,Linde,31426032,,,,,,,,,,,,,,,,
LKQ,LKQ,9445636,,,,,,,,,,,,,,,,
LLY,Eli Lilly and Company,21509985,,,,,,,,,,,,,,,,
LMT,Lockheed Martin,18111211,,,,,,,,,,,,,,,,
LNC,Lincoln National,16760924,,,,,,,,,,,,,,,,
LNT,Alliant Energy,10449260,,,,,,,,,,,,,,,,
LOW,Lowes Companies,17871715,,,,,,,,,,,,,,,,
LRCX,Lam Research,15495736,,,,,,,,,,,,,,,,
LUMN,Lumen Technologies,22654781,,,,,,,,,,,,,,,,
LUV,Southwest Airlines Co,5819756,,,,,,,,,,,,,,,,
LVS,Las Vegas Sands,31204900,,,,,,,,,,,,,,,,
LW,Lamb Weston Holdings,6407381,,,,,,,,,,,,,,,,
LYB,LyondellBasell Industries NV,19011033,,,,,,,,,,,,,,,,
LYV,Live Nation Entertainment,13842464,,,,,,,,,,,,,,,,
MA,Mastercard orporated,16120055,,,,,,,,,,,,,,,,
MAA,Mid-America Apartment Communities,7667655,,,,,,,,,,,,,,,,
MAR,Marriott International,18391882,,,,,,,,,,,,,,,,
MAS,Masco,13410774,,,,,,,,,,,,,,,,
MCD,McDonald's,20028132,,,,,,,,,,,,,,,,
MCHP,Microchip Technology orporated,3891467,,,,,,,,,,,,,,,,
MCK,McKesson,18152082,,,,,,,,,,,,,,,,
